"tenure","age","marital","address","ed","employ","retire","gender","reside","custcat","churn"
"2","31","0","2","1","6","0.00","0","1","1","1"
"20","48","1","29","2","3","0.00","0","2","4","1"
"31","53","0","2","3","31","0.00","1","1","3","0"
"45","52","1","4","4","29","0.00","1","4","2","0"
"33","27","1","7","2","7","0.00","0","4","1","0"
"10","26","0","6","3","3","0.00","0","1","2","0"
"62","54","1","2","4","3","0.00","0","2","4","1"
"4","35","0","16","5","6","0.00","1","1","4","1"
"42","47","1","17","4","17","0.00","0","2","3","0"
"27","51","1","3","5","11","0.00","0","3","2","0"
"38","42","0","1","4","7","0.00","1","1","1","0"
"52","61","1","3","5","1","0.00","1","2","2","0"
"35","33","0","9","5","4","0.00","1","1","4","0"
"3","20","1","1","2","0","0.00","1","4","1","1"
"17","33","0","9","5","3","0.00","0","1","4","1"
"55","53","1","21","1","8","0.00","0","2","3","0"
"43","36","1","5","1","19","0.00","1","3","2","1"
"47","25","1","5","1","1","0.00","1","2","3","1"
"65","58","0","30","2","16","0.00","1","1","2","0"
"13","20","0","1","3","0","0.00","0","5","4","0"
"64","25","1","4","3","2","0.00","1","6","3","0"
"12","24","0","2","1","0","0.00","0","1","3","1"
"29","32","1","0","4","3","0.00","1","3","2","1"
"23","47","0","21","3","22","0.00","1","1","2","0"
"14","35","0","4","3","10","0.00","1","1","2","1"
"35","61","0","23","2","11","0.00","0","1","1","0"
"26","39","0","8","3","13","0.00","1","1","4","0"
"13","54","0","2","4","2","0.00","0","1","1","0"
"69","40","1","13","2","17","0.00","0","3","2","0"
"61","50","1","30","4","9","0.00","1","3","2","0"
"45","22","1","2","4","0","0.00","1","5","2","1"
"3","37","0","13","1","3","0.00","1","1","1","0"
"53","22","0","1","4","0","0.00","0","2","2","0"
"59","42","0","1","2","21","0.00","1","1","3","0"
"13","34","0","11","3","0","0.00","1","1","1","0"
"31","31","0","4","1","15","0.00","0","1","3","0"
"40","29","1","6","2","8","0.00","1","5","3","0"
"48","55","0","15","1","25","0.00","0","1","3","0"
"3","31","0","1","1","0","0.00","0","1","1","1"
"51","48","0","12","2","22","0.00","1","1","1","0"
"33","41","0","15","2","11","0.00","0","1","1","0"
"14","47","1","7","1","13","0.00","0","2","1","0"
"17","42","1","6","5","6","0.00","0","3","2","1"
"19","29","1","9","2","2","0.00","0","3","1","1"
"58","36","0","10","2","14","0.00","1","1","2","0"
"22","23","0","3","2","4","0.00","1","3","4","0"
"29","31","1","1","4","6","0.00","0","5","2","1"
"14","22","1","2","3","0","0.00","1","4","2","1"
"70","64","1","18","1","31","0.00","1","2","4","0"
"62","52","1","2","1","23","0.00","0","2","3","1"
"7","35","1","0","1","14","0.00","0","5","1","1"
"56","47","1","19","2","22","0.00","0","3","4","0"
"50","50","1","22","5","5","0.00","1","4","2","1"
"57","39","0","6","5","8","0.00","0","1","3","0"
"2","40","0","19","4","14","0.00","1","1","1","0"
"40","38","0","17","4","0","0.00","1","1","1","0"
"6","43","0","4","5","7","0.00","0","2","3","0"
"23","25","1","6","2","1","0.00","1","3","3","0"
"11","32","0","6","4","5","0.00","0","1","4","1"
"29","37","1","13","5","0","0.00","1","4","4","0"
"42","44","1","2","2","21","0.00","0","3","3","0"
"20","34","1","2","4","0","0.00","1","3","4","0"
"72","60","1","21","1","38","1.00","0","2","2","0"
"2","36","0","3","1","6","0.00","1","1","3","0"
"46","25","0","5","5","0","0.00","1","2","1","0"
"39","51","1","21","5","20","0.00","0","6","4","0"
"24","25","1","1","3","1","0.00","1","2","2","1"
"59","43","1","4","2","22","0.00","1","5","2","0"
"65","37","0","8","2","15","0.00","0","1","2","0"
"50","27","1","5","2","5","0.00","1","3","1","0"
"57","37","0","11","4","9","0.00","1","1","3","0"
"61","48","0","14","4","20","0.00","1","1","4","0"
"34","54","0","31","4","22","0.00","0","1","4","0"
"38","53","0","13","4","12","0.00","0","1","4","0"
"3","24","1","2","2","3","0.00","1","5","3","0"
"4","47","0","5","4","11","0.00","0","1","1","0"
"15","35","0","0","1","12","0.00","0","1","1","0"
"25","29","1","8","4","3","0.00","1","5","2","1"
"21","44","0","25","1","12","0.00","1","2","3","0"
"50","37","1","11","3","8","0.00","1","2","3","0"
"65","64","1","22","2","5","1.00","1","3","3","0"
"59","52","1","18","1","25","0.00","0","2","1","0"
"29","26","0","7","1","7","0.00","1","2","3","0"
"60","46","0","17","5","9","0.00","1","1","2","0"
"71","45","1","14","2","25","0.00","0","2","2","0"
"38","27","1","0","4","2","0.00","0","4","4","1"
"16","34","1","5","2","8","0.00","1","5","1","0"
"7","31","0","10","3","10","0.00","0","1","1","0"
"59","53","0","21","4","16","0.00","0","1","2","1"
"22","56","1","14","4","28","0.00","0","2","4","0"
"18","48","1","20","1","2","0.00","1","2","1","0"
"64","46","1","19","2","26","0.00","1","2","4","0"
"7","33","0","4","4","4","0.00","1","3","1","1"
"65","58","0","13","2","14","0.00","1","2","2","0"
"7","24","0","5","2","3","0.00","0","3","1","1"
"64","55","0","28","1","26","0.00","1","1","3","0"
"42","22","1","0","4","0","0.00","0","2","4","1"
"33","26","0","5","4","1","0.00","1","3","4","0"
"3","33","0","8","4","0","0.00","1","1","1","1"
"69","42","1","11","2","18","0.00","0","2","4","0"
"9","33","0","1","2","13","0.00","0","2","1","0"
"22","34","1","1","3","1","0.00","0","4","2","0"
"53","63","1","15","2","18","0.00","0","2","2","0"
"71","53","0","30","1","34","0.00","0","1","2","0"
"24","26","0","2","3","2","0.00","0","3","1","0"
"12","22","1","1","3","0","0.00","1","2","1","0"
"25","39","1","1","4","0","0.00","0","4","2","1"
"63","28","1","9","2","10","0.00","1","6","3","0"
"33","54","1","18","4","4","0.00","1","3","3","1"
"57","54","1","20","2","0","0.00","1","3","1","0"
"13","33","0","7","3","10","0.00","1","1","4","0"
"13","21","0","2","3","0","0.00","1","1","2","1"
"71","39","0","2","3","17","0.00","0","1","3","0"
"18","69","1","11","3","8","0.00","0","2","4","0"
"17","51","1","10","2","15","0.00","1","2","1","1"
"22","43","0","4","2","19","0.00","0","1","1","0"
"65","65","1","27","3","24","0.00","0","2","3","0"
"7","40","0","9","4","2","0.00","1","1","1","0"
"72","66","0","30","4","41","0.00","1","1","4","0"
"35","43","0","12","3","17","0.00","0","1","1","0"
"24","39","0","2","4","12","0.00","0","3","4","0"
"64","24","1","0","3","1","0.00","1","5","2","0"
"63","63","1","19","3","27","0.00","0","2","2","0"
"38","31","1","7","4","6","0.00","0","3","4","1"
"29","37","1","9","3","12","0.00","0","3","1","0"
"72","69","1","49","2","44","1.00","1","2","3","0"
"10","27","1","2","3","2","0.00","1","2","4","1"
"72","64","0","41","4","37","0.00","1","1","3","0"
"52","23","1","4","4","0","0.00","1","2","3","0"
"13","55","0","3","2","35","0.00","1","2","1","0"
"3","33","0","6","4","0","0.00","0","2","1","1"
"39","24","1","2","2","4","0.00","0","4","1","1"
"28","29","0","4","3","5","0.00","0","2","2","0"
"46","42","0","9","4","7","0.00","0","3","2","0"
"62","46","0","27","3","9","0.00","1","1","1","0"
"23","33","1","7","1","4","0.00","0","2","3","0"
"23","25","1","5","5","0","0.00","0","3","4","1"
"72","61","1","39","3","21","0.00","0","2","4","0"
"56","60","0","26","2","20","0.00","0","1","1","0"
"8","30","0","1","2","9","0.00","1","1","3","0"
"3","36","0","7","5","3","0.00","1","3","4","0"
"37","37","0","7","3","13","0.00","0","1","1","0"
"37","53","1","13","1","10","0.00","0","3","3","0"
"6","30","0","9","2","2","0.00","1","1","1","1"
"48","47","0","9","3","13","0.00","0","5","4","1"
"43","43","1","3","4","18","0.00","1","4","4","0"
"21","29","0","7","4","2","0.00","1","4","1","0"
"6","33","0","12","3","0","0.00","0","1","3","1"
"69","51","0","18","1","33","0.00","0","4","3","0"
"22","33","0","9","1","10","0.00","0","1","3","0"
"28","40","1","1","2","9","0.00","1","3","3","0"
"71","47","1","23","1","30","0.00","0","2","2","0"
"7","37","0","5","4","1","0.00","0","1","1","0"
"63","29","0","10","3","7","0.00","0","2","4","0"
"53","57","0","25","1","7","0.00","0","1","2","0"
"50","52","1","17","4","16","0.00","0","4","4","0"
"39","31","1","6","4","2","0.00","0","2","4","0"
"16","19","0","0","2","0","0.00","1","1","1","0"
"43","51","1","15","3","25","0.00","0","2","4","0"
"44","31","0","12","1","7","0.00","1","3","1","0"
"72","66","1","43","2","16","0.00","1","2","4","0"
"61","76","0","39","1","29","1.00","0","1","3","0"
"43","21","1","1","1","4","0.00","0","4","2","1"
"24","39","0","11","3","7","0.00","1","1","1","0"
"64","45","0","4","2","7","0.00","1","1","3","1"
"64","38","0","0","2","2","0.00","0","2","2","0"
"24","26","0","7","2","7","0.00","1","1","1","0"
"33","55","1","21","3","10","0.00","1","3","1","0"
"33","33","1","12","4","7","0.00","1","5","2","0"
"2","40","0","9","4","2","0.00","0","1","1","0"
"42","48","1","22","1","21","0.00","1","5","4","0"
"52","54","1","5","5","10","0.00","0","2","2","1"
"45","66","0","43","2","13","0.00","1","1","2","0"
"3","25","0","4","4","0","0.00","0","2","4","1"
"37","53","1","16","1","16","0.00","1","4","3","0"
"28","57","0","33","4","22","0.00","1","1","2","1"
"40","63","1","9","1","22","0.00","0","2","1","0"
"37","33","0","1","2","12","0.00","0","1","4","0"
"7","27","0","5","3","4","0.00","0","5","4","1"
"71","56","0","23","1","30","0.00","1","1","4","0"
"19","46","0","11","2","0","0.00","1","1","1","0"
"61","40","0","15","3","15","0.00","1","1","3","0"
"70","53","1","16","2","35","0.00","1","2","2","0"
"60","55","1","13","1","18","0.00","1","2","1","0"
"48","45","1","5","1","11","0.00","1","2","1","0"
"8","63","1","1","1","9","0.00","0","2","3","0"
"58","58","1","10","2","17","0.00","0","4","3","0"
"16","24","1","5","3","2","0.00","0","5","3","0"
"33","33","0","4","2","14","0.00","1","1","1","0"
"39","25","0","4","1","0","0.00","1","1","3","0"
"62","51","0","10","4","19","0.00","0","2","2","0"
"50","34","0","10","3","9","0.00","0","1","4","0"
"48","55","0","31","1","1","0.00","0","1","1","0"
"31","62","0","5","2","26","0.00","1","1","3","0"
"65","33","1","9","2","6","0.00","0","5","2","0"
"36","58","0","34","1","21","0.00","1","1","2","0"
"61","46","0","5","3","18","0.00","1","1","3","0"
"48","42","0","21","4","5","0.00","0","1","3","0"
"35","45","0","17","1","6","0.00","0","1","1","0"
"51","28","0","8","5","1","0.00","0","5","4","0"
"49","51","1","5","5","3","0.00","0","2","4","1"
"35","39","1","11","3","2","0.00","1","3","3","1"
"58","70","0","2","3","24","1.00","1","1","2","0"
"23","35","1","0","2","1","0.00","0","5","3","0"
"26","39","1","15","4","9","0.00","1","2","3","0"
"38","37","1","1","1","20","0.00","1","4","4","0"
"35","66","1","44","3","12","1.00","1","2","3","0"
"37","50","0","9","2","21","0.00","1","1","3","0"
"48","43","1","1","2","12","0.00","0","2","2","0"
"13","43","1","1","3","21","0.00","0","5","4","0"
"72","63","1","29","5","31","1.00","0","2","3","0"
"30","27","0","4","4","2","0.00","1","2","2","1"
"24","43","0","14","4","11","0.00","1","1","3","0"
"25","51","1","20","3","29","0.00","0","2","4","0"
"50","52","0","30","3","22","0.00","0","1","4","0"
"28","40","0","7","1","19","0.00","0","1","3","0"
"34","51","0","8","4","14","0.00","0","1","1","0"
"48","32","0","2","3","9","0.00","0","1","4","0"
"42","36","1","8","2","15","0.00","1","2","2","0"
"67","65","1","30","1","29","1.00","1","2","3","0"
"17","41","1","7","2","17","0.00","0","3","3","0"
"29","38","1","19","2","6","0.00","0","2","2","0"
"66","61","0","26","1","40","0.00","1","1","2","0"
"1","21","0","1","3","0","0.00","1","1","1","1"
"28","33","1","3","4","1","0.00","0","3","4","1"
"15","35","1","5","3","8","0.00","0","2","2","1"
"12","64","0","13","2","6","1.00","1","1","3","0"
"48","49","0","18","2","5","0.00","1","1","4","1"
"59","25","1","4","3","2","0.00","0","4","1","0"
"8","26","1","1","4","1","0.00","0","2","1","1"
"45","52","0","15","5","8","0.00","1","1","2","1"
"25","39","1","8","4","11","0.00","1","4","2","1"
"21","44","1","4","3","2","0.00","0","2","4","0"
"17","68","1","1","1","35","0.00","1","3","4","0"
"41","45","0","14","3","6","0.00","0","1","1","1"
"13","45","1","3","3","8","0.00","1","2","3","1"
"1","26","1","3","2","7","0.00","1","5","1","1"
"3","31","1","4","2","2","0.00","1","3","4","1"
"23","27","1","2","5","1","0.00","1","2","1","1"
"26","42","0","20","3","13","0.00","0","1","4","1"
"37","51","1","15","1","15","0.00","0","3","3","0"
"5","30","0","3","4","7","0.00","0","1","2","1"
"32","27","1","3","4","1","0.00","1","3","4","1"
"12","22","0","1","4","0","0.00","0","2","1","0"
"72","54","1","6","1","32","0.00","0","2","3","0"
"3","25","1","2","4","0","0.00","1","2","1","1"
"54","43","0","12","2","12","0.00","0","1","3","0"
"26","26","0","2","2","6","0.00","1","1","4","1"
"14","36","0","13","5","4","0.00","1","1","1","0"
"22","51","0","27","3","1","0.00","0","1","1","0"
"65","47","1","18","1","15","0.00","1","4","1","0"
"26","45","0","18","1","9","0.00","0","1","1","0"
"20","37","0","5","3","10","0.00","1","4","4","0"
"67","60","1","32","1","21","0.00","0","4","2","0"
"34","55","0","2","2","11","0.00","0","1","1","0"
"37","54","1","35","2","22","0.00","0","3","3","0"
"22","23","1","3","1","5","0.00","0","4","1","0"
"5","69","0","0","2","14","1.00","0","1","1","0"
"28","31","1","0","4","5","0.00","1","3","3","0"
"20","41","1","7","4","14","0.00","1","4","1","0"
"72","41","0","20","4","12","0.00","0","1","4","0"
"30","43","0","18","4","6","0.00","0","1","1","0"
"71","52","0","17","2","32","0.00","0","1","4","0"
"56","44","0","24","2","19","0.00","0","1","3","0"
"8","29","1","2","5","0","0.00","0","2","1","1"
"32","65","0","6","2","30","1.00","1","1","2","0"
"46","47","0","22","3","22","0.00","1","2","3","1"
"60","45","1","23","4","11","0.00","0","3","4","0"
"42","32","1","0","4","4","0.00","1","6","4","0"
"71","60","1","39","4","35","0.00","0","4","4","0"
"72","63","1","40","2","43","1.00","1","2","3","0"
"45","66","0","11","3","25","1.00","1","1","1","0"
"5","31","0","4","1","9","0.00","0","1","3","1"
"17","38","1","19","4","0","0.00","1","4","2","0"
"70","55","0","12","3","24","0.00","0","1","3","0"
"57","57","1","19","3","27","0.00","1","2","2","0"
"20","33","0","13","3","8","0.00","1","1","2","0"
"72","52","1","21","1","24","0.00","0","3","3","0"
"32","50","0","28","4","20","0.00","0","1","3","0"
"22","57","1","7","1","35","0.00","1","2","3","0"
"6","24","0","2","1","5","0.00","0","2","3","1"
"32","23","1","2","3","1","0.00","1","6","4","0"
"38","33","0","3","4","0","0.00","0","1","2","0"
"53","35","0","15","3","5","0.00","1","1","3","0"
"37","76","0","38","4","21","0.00","1","1","1","0"
"47","35","1","13","4","9","0.00","1","2","4","1"
"69","59","0","37","2","13","0.00","0","1","3","0"
"63","56","0","17","3","18","0.00","1","1","1","0"
"61","34","1","0","3","7","0.00","1","3","4","1"
"56","38","1","8","4","10","0.00","0","2","4","0"
"40","57","1","18","1","23","0.00","0","2","3","0"
"61","45","0","21","2","13","0.00","1","1","2","0"
"16","26","0","7","4","1","0.00","0","6","4","0"
"7","43","0","4","3","5","0.00","1","1","1","0"
"20","31","1","10","2","3","0.00","1","2","1","0"
"35","38","0","7","2","18","0.00","0","4","2","0"
"60","37","1","12","5","1","0.00","1","2","2","0"
"47","25","0","2","2","6","0.00","0","1","4","0"
"33","28","1","3","2","0","0.00","1","6","1","0"
"12","34","0","2","2","7","0.00","0","1","1","0"
"10","31","0","0","4","7","0.00","1","2","2","1"
"69","33","1","9","4","9","0.00","1","3","3","0"
"23","20","0","1","3","0","0.00","1","1","2","0"
"53","31","0","10","3","6","0.00","0","2","2","0"
"60","57","1","14","2","33","0.00","1","2","3","0"
"33","33","0","7","2","11","0.00","0","1","1","0"
"67","40","1","21","4","7","0.00","1","4","4","0"
"15","38","1","5","3","13","0.00","0","3","3","0"
"64","31","1","5","2","7","0.00","1","4","2","0"
"46","49","1","13","2","21","0.00","0","2","1","1"
"72","60","1","33","1","20","1.00","0","3","4","0"
"61","43","1","6","5","6","0.00","0","3","4","1"
"54","27","0","3","2","6","0.00","1","5","4","0"
"28","36","0","3","3","7","0.00","1","1","3","0"
"28","38","0","8","5","2","0.00","0","3","4","1"
"32","43","0","13","1","27","0.00","1","1","3","0"
"52","46","0","17","2","13","0.00","1","3","2","0"
"48","62","0","33","1","22","1.00","1","1","3","0"
"52","42","1","17","3","8","0.00","1","2","3","0"
"37","43","0","8","3","9","0.00","0","1","2","0"
"41","52","0","26","3","29","0.00","0","3","3","0"
"43","27","1","3","2","1","0.00","1","3","2","0"
"67","60","0","24","1","6","0.00","1","1","3","0"
"61","52","1","30","1","25","0.00","1","2","1","0"
"70","39","1","20","2","8","0.00","1","4","3","0"
"44","32","1","1","4","5","0.00","1","4","4","0"
"46","45","0","12","3","17","0.00","0","1","2","0"
"39","34","0","2","3","5","0.00","0","1","1","0"
"39","59","0","20","4","27","0.00","1","1","2","0"
"50","29","1","10","4","0","0.00","1","4","4","0"
"5","31","0","1","3","1","0.00","1","2","1","1"
"10","34","0","1","5","3","0.00","1","1","2","1"
"72","69","0","45","3","36","1.00","1","1","2","0"
"68","60","0","40","2","39","0.00","1","1","3","0"
"58","28","0","5","5","1","0.00","1","1","2","0"
"18","44","1","10","1","19","0.00","1","7","1","0"
"65","45","1","25","5","13","0.00","1","2","3","0"
"8","45","0","1","4","0","0.00","0","1","2","1"
"1","20","0","1","2","0","0.00","1","2","1","1"
"42","58","0","7","1","4","0.00","1","1","2","0"
"4","25","1","3","3","3","0.00","1","5","1","0"
"17","35","0","4","3","8","0.00","1","1","3","0"
"8","24","1","1","4","0","0.00","1","5","4","1"
"49","37","1","17","2","12","0.00","1","2","2","0"
"56","46","1","21","4","7","0.00","0","2","2","0"
"62","57","1","21","1","22","0.00","0","2","4","0"
"42","57","1","25","1","40","0.00","1","4","1","0"
"13","32","0","7","4","5","0.00","0","2","3","0"
"69","46","1","18","2","19","0.00","0","4","2","0"
"45","59","0","14","1","15","0.00","0","2","1","0"
"66","42","1","18","2","20","0.00","0","2","2","0"
"15","35","0","10","2","3","0.00","0","1","1","1"
"41","44","1","1","3","21","0.00","1","3","2","0"
"11","20","0","1","2","0","0.00","1","1","4","1"
"45","30","1","0","5","4","0.00","0","4","4","1"
"52","62","0","23","4","17","0.00","0","1","1","0"
"42","56","0","24","4","18","0.00","1","1","4","0"
"48","35","0","11","1","16","0.00","0","3","3","0"
"4","31","0","5","2","5","0.00","0","2","4","1"
"53","64","1","10","2","20","0.00","1","2","4","0"
"1","59","0","4","1","4","1.00","0","1","3","0"
"19","30","1","10","4","1","0.00","0","3","4","0"
"33","30","0","11","1","9","0.00","0","1","1","0"
"42","36","1","14","2","11","0.00","0","3","3","0"
"60","32","0","12","4","4","0.00","1","2","2","0"
"57","51","1","7","4","18","0.00","1","3","3","0"
"64","39","0","5","1","9","0.00","0","1","1","0"
"28","20","1","1","3","0","0.00","0","3","4","0"
"29","35","1","10","2","7","0.00","0","4","3","1"
"46","31","1","12","1","5","0.00","0","5","3","0"
"22","41","1","9","3","11","0.00","0","4","1","1"
"10","56","0","26","2","6","1.00","0","2","1","0"
"50","41","0","16","2","18","0.00","1","1","2","1"
"55","65","0","34","4","12","1.00","1","1","4","0"
"15","54","0","7","1","11","0.00","0","1","1","0"
"31","32","1","13","3","8","0.00","1","3","4","0"
"5","44","0","5","1","16","0.00","1","1","2","1"
"69","63","0","28","1","43","0.00","1","2","3","0"
"26","27","1","4","4","1","0.00","0","6","4","1"
"10","33","1","2","3","9","0.00","1","4","1","1"
"26","30","0","9","4","1","0.00","0","3","4","1"
"25","30","0","0","1","4","0.00","1","1","3","0"
"30","23","1","4","3","1","0.00","0","4","2","0"
"21","39","1","7","2","1","0.00","0","4","3","0"
"71","46","0","27","5","7","0.00","1","1","4","0"
"11","48","1","5","4","25","0.00","0","4","3","1"
"24","30","1","7","1","11","0.00","1","2","1","0"
"65","59","1","27","4","26","0.00","0","2","2","0"
"16","34","1","13","3","10","0.00","1","3","1","1"
"37","51","1","26","4","4","0.00","0","2","2","0"
"5","30","0","4","3","6","0.00","0","1","3","1"
"3","55","1","9","5","0","0.00","1","2","2","1"
"5","32","0","6","4","3","0.00","0","2","1","1"
"60","44","1","4","2","24","0.00","0","2","4","0"
"19","37","1","4","2","15","0.00","1","3","2","1"
"54","40","0","19","4","12","0.00","1","2","4","0"
"25","41","0","3","3","20","0.00","1","4","3","0"
"1","36","0","6","1","1","0.00","0","2","2","1"
"54","68","0","7","3","27","0.00","1","1","1","0"
"14","31","1","9","3","4","0.00","1","7","1","0"
"14","28","1","7","2","3","0.00","0","4","1","1"
"10","45","1","8","3","17","0.00","1","4","2","1"
"7","23","0","3","2","1","0.00","1","3","1","0"
"33","45","0","24","1","6","0.00","0","1","3","1"
"3","23","0","2","2","4","0.00","0","1","1","0"
"56","58","1","3","1","25","0.00","0","3","1","0"
"54","56","0","8","2","35","0.00","1","1","3","0"
"72","55","1","28","1","11","0.00","0","5","2","0"
"18","29","0","4","2","1","0.00","0","1","3","0"
"25","29","0","9","4","1","0.00","0","1","1","1"
"42","62","0","26","1","35","1.00","1","1","1","0"
"4","37","0","2","2","8","0.00","0","1","1","0"
"12","50","1","16","4","25","0.00","0","2","1","1"
"53","64","1","17","2","36","0.00","1","2","3","0"
"13","38","1","8","4","6","0.00","0","7","4","1"
"18","31","1","12","3","4","0.00","0","4","2","0"
"67","42","1","20","3","20","0.00","1","5","4","0"
"6","24","0","2","1","1","0.00","0","1","3","0"
"25","46","0","13","1","12","0.00","1","1","3","0"
"15","39","0","19","2","2","0.00","0","1","2","1"
"32","35","0","12","4","5","0.00","0","1","2","0"
"22","39","0","0","4","9","0.00","0","1","2","1"
"8","22","0","3","4","0","0.00","0","1","3","0"
"3","31","1","4","1","1","0.00","0","2","1","1"
"32","54","0","6","2","20","0.00","0","1","1","0"
"49","54","0","24","2","5","0.00","0","1","2","0"
"2","28","0","7","3","0","0.00","1","1","4","0"
"39","47","0","1","4","10","0.00","1","2","2","1"
"42","33","0","2","2","5","0.00","0","2","2","0"
"28","36","0","3","3","2","0.00","0","1","4","0"
"41","46","1","14","2","11","0.00","0","5","4","0"
"67","50","1","31","2","12","0.00","0","2","2","0"
"38","40","0","15","2","11","0.00","1","1","2","0"
"18","38","0","8","2","2","0.00","1","4","4","1"
"6","42","1","17","2","2","0.00","1","2","4","0"
"4","36","0","0","2","1","0.00","1","3","1","0"
"13","23","1","3","3","0","0.00","1","4","4","0"
"20","35","0","0","4","7","0.00","0","1","4","1"
"34","49","1","27","3","15","0.00","1","2","3","0"
"46","29","1","4","5","3","0.00","0","4","4","0"
"48","41","0","21","2","7","0.00","0","1","2","0"
"69","61","1","12","2","37","0.00","0","2","3","0"
"32","34","1","7","2","15","0.00","0","4","1","0"
"29","29","0","9","2","9","0.00","0","2","2","0"
"55","52","0","22","1","28","0.00","1","3","2","0"
"72","60","1","36","1","43","0.00","1","2","3","0"
"29","26","0","1","3","2","0.00","1","1","1","1"
"50","25","1","1","4","2","0.00","1","5","4","0"
"35","50","1","11","3","21","0.00","0","2","1","1"
"11","63","0","9","3","3","0.00","0","1","1","1"
"9","29","0","9","3","5","0.00","1","1","1","0"
"51","48","0","27","1","18","0.00","0","1","3","1"
"33","34","1","2","1","3","0.00","1","3","2","0"
"25","20","0","0","2","0","0.00","0","2","3","0"
